Carrera;IdCampus;Sexo;CicloIngreso;InstitucionBach_Encoded;TieneBeca;PorcentajeBeca_Promedio;MateriasInscritas_C1;MateriasAprobadas_C1;MateriasReprobadas_C1;TasaAprobacion_C1;PromedioCiclo_C1;MateriasInscritas_C2;MateriasAprobadas_C2;MateriasReprobadas_C2;TasaAprobacion_C2;PromedioCiclo_C2;TotalMateriasInscritas_Anio1;TotalMateriasAprobadas_Anio1;TotalMateriasReprobadas_Anio1;TasaAprobacion_Anio1;PromedioGeneral_Anio1;Deserto
2019-209;1;102302;01-2020;0.05882;1;50;5;5;0;1;8.16;5;5;0;1;8.76;10;10;0;1;8.46;0
2018-206;1;102301;01-2020;0.10714;0;NULL;4;4;0;1;8.41;2;2;0;1;9.14;6;6;0;1;8.77;0
2019-701;1;102301;01-2020;0.11765;0;NULL;5;4;0;0.8;6.28;5;4;0;0.8;6.28;10;8;0;0.8;6.28;0
2019-404;1;102301;01-2020;0.04000;0;NULL;5;3;2;0.6;6.64;5;0;0;0;0;10;3;2;0.3;3.32;0
2013-703;1;102301;01-2020;0.45313;0;NULL;6;5;1;0.8333;7.1;5;2;3;0.4;5.15;11;7;4;0.6364;6.12;1
2019-409;1;102301;01-2020;0.12000;0;NULL;5;5;0;1;7.98;5;5;0;1;7.2;10;10;0;1;7.59;1
2009-441;1;102301;01-2020;0.17448;0;NULL;6;6;0;1;7.87;5;5;0;1;8.78;11;11;0;1;8.32;1
2017-104;1;102301;01-2021;0.02158;0;NULL;4;4;0;1;8.33;5;2;0;0.4;3.23;9;6;0;0.6667;5.78;1
2019-209;1;102302;01-2021;0.13333;0;NULL;5;5;0;1;8.55;4;3;1;0.75;7.83;9;8;1;0.8889;8.19;0
2014-702;1;102301;01-2021;0.18175;0;NULL;5;4;0;0.8;6.71;5;3;0;0.6;5.28;10;7;0;0.7;6;0
2017-107;1;102301;01-2021;0.09351;0;NULL;4;2;2;0.5;5.44;3;2;0;0.6667;5.44;7;4;2;0.5714;5.44;0
2018-219;1;102302;01-2021;0.04202;0;NULL;3;3;0;1;8.19;3;3;0;1;8.34;6;6;0;1;8.27;0
2018-219;1;102302;01-2021;0.04202;0;NULL;3;3;0;1;9.47;3;3;0;1;9.32;6;6;0;1;9.4;0
2021-202;1;102302;01-2021;0.10714;0;NULL;5;5;0;1;7.59;5;5;0;1;8.46;10;10;0;1;8.02;0
2018-219;1;102302;01-2021;0.04762;0;NULL;3;3;0;1;9.1;4;4;0;1;8.57;7;7;0;1;8.84;0
2021-202;1;102302;01-2021;0.15385;0;NULL;5;5;0;1;6.95;4;3;0;0.75;5.52;9;8;0;0.8889;6.23;0
2014-702;1;102301;01-2021;0.10101;0;NULL;5;3;2;0.6;6.74;4;2;0;0.5;4.95;9;5;2;0.5556;5.85;0
2018-219;1;102302;01-2021;0.16667;0;NULL;3;3;0;1;7.96;2;2;0;1;8.58;5;5;0;1;8.27;0
2017-109;1;102301;01-2021;0.22341;0;NULL;4;3;1;0.75;6.43;4;3;0;0.75;6.62;8;6;1;0.75;6.52;0
2018-219;1;102302;01-2021;0.18519;0;NULL;4;4;0;1;8.58;3;0;0;0;0;7;4;0;0.5714;4.29;1
2021-202;1;102302;01-2021;0.11515;0;NULL;3;3;0;1;7.37;4;2;2;0.5;5;7;5;2;0.7143;6.18;0
2021-202;1;102301;01-2021;0.25490;0;NULL;5;5;0;1;8.18;4;3;1;0.75;7.35;9;8;1;0.8889;7.76;0
2021-202;1;102302;01-2021;0.10101;0;NULL;5;5;0;1;7.59;5;5;0;1;8.14;10;10;0;1;7.87;0
2014-702;1;102301;01-2021;0.05675;0;NULL;5;2;3;0.4;4.64;3;1;1;0.3333;3.85;8;3;4;0.375;4.24;0
2019-403;1;102301;01-2021;0.07407;0;NULL;5;3;2;0.6;6.89;3;2;1;0.6667;5.54;8;5;3;0.625;6.21;0
2017-106;1;102302;01-2022;0.22727;0;NULL;4;4;0;1;8.08;4;4;0;1;7.7;8;8;0;1;7.89;0
2022-702;1;102301;01-2022;0.17448;0;NULL;4;3;1;0.75;7.04;4;4;0;1;7.43;8;7;1;0.875;7.23;0
2017-104;1;102301;01-2022;0.28571;0;NULL;5;1;2;0.2;2.69;3;0;3;0;0.42;8;1;5;0.125;1.55;1
2017-109;1;102301;01-2022;0.09091;0;NULL;4;4;0;1;8.93;5;5;0;1;8.51;9;9;0;1;8.72;0
2019-209;1;102302;01-2022;0.31818;0;NULL;5;5;0;1;8.12;5;5;0;1;7.81;10;10;0;1;7.96;0
2022-702;1;102302;01-2022;0.09091;0;NULL;4;1;2;0.25;4.18;4;0;0;0;0;8;1;2;0.125;2.09;1
2018-219;1;102302;01-2022;0.10714;0;NULL;3;3;0;1;8.78;3;3;0;1;7.36;6;6;0;1;8.07;0
2018-206;1;102302;01-2022;0.11515;0;NULL;3;3;0;1;8.34;3;3;0;1;8.25;6;6;0;1;8.29;0
2019-409;1;102301;01-2022;0.02158;0;NULL;5;5;0;1;8.25;6;5;1;0.8333;7.54;11;10;1;0.9091;7.9;0
2019-209;1;102302;01-2022;0.15675;0;NULL;4;3;1;0.75;6.97;3;1;0;0.3333;2.37;7;4;1;0.5714;4.67;0
2019-701;1;102301;01-2022;0.14008;0;NULL;4;3;0;0.75;5.87;4;1;3;0.25;6.63;8;4;3;0.5;6.25;1
2017-102;1;102301;01-2022;0.30675;0;NULL;4;2;1;0.5;4.37;3;2;1;0.6667;5.4;7;4;2;0.5714;4.89;1
2018-444;1;102301;01-2022;0.17448;0;NULL;6;5;1;0.8333;6.82;3;2;1;0.6667;6.3;9;7;2;0.7778;6.56;1
2018-444;1;102301;01-2022;0.17448;0;NULL;6;5;1;0.8333;6.93;3;2;1;0.6667;6.41;9;7;2;0.7778;6.67;1
2019-209;1;102301;01-2023;0.05675;0;NULL;5;5;0;1;7.58;5;5;0;1;8.11;10;10;0;1;7.84;0
2022-416;1;102302;01-2023;0.04202;0;NULL;3;3;0;1;8.3;3;3;0;1;7.71;6;6;0;1;8;0
2018-219;1;102302;01-2023;0.11801;0;NULL;3;2;1;0.6667;6.15;3;3;0;1;7.48;6;5;1;0.8333;6.81;0
2021-202;1;102302;01-2023;0.10753;0;NULL;4;4;0;1;8.67;4;4;0;1;8.65;8;8;0;1;8.66;0
2023-305;1;102301;01-2023;0.12500;0;NULL;4;3;1;0.75;6.47;4;4;0;1;7.17;8;7;1;0.875;6.82;0
2018-206;1;102302;01-2023;0.30000;0;NULL;3;1;2;0.3333;4.89;2;1;1;0.5;5.78;5;2;3;0.4;5.33;1
2022-102;1;102301;01-2023;0.27273;0;NULL;1;1;0;1;9.85;2;1;0;0.5;3.23;3;2;0;0.6667;6.54;1
2020-621;1;102302;01-2023;0.31818;0;NULL;4;4;0;1;8.05;4;4;0;1;8.28;8;8;0;1;8.16;0
2024-702;1;102301;01-2024;0.05675;0;NULL;4;4;0;1;6.89;5;3;0;0.6;4.25;9;7;0;0.7778;5.57;0
2024-404;1;102301;01-2024;0.04762;0;NULL;5;5;0;1;8.39;4;4;0;1;8.43;9;9;0;1;8.41;0
2024-104;1;102301;01-2024;0.10714;0;NULL;4;3;0;0.75;5.64;4;4;0;1;6.91;8;7;0;0.875;6.27;0
2024-109;1;102301;01-2024;0.05556;0;NULL;4;2;1;0.5;4.45;3;0;3;0;2.35;7;2;4;0.2857;3.4;1
2024-409;1;102302;01-2024;0.07407;1;50;5;5;0;1;9.13;5;5;0;1;9.7;10;10;0;1;9.42;0
2024-215;1;102302;01-2024;0.09351;0;NULL;5;5;0;1;8.31;5;5;0;1;8.75;10;10;0;1;8.53;0
2024-209;1;102301;01-2024;0.10714;0;NULL;5;4;1;0.8;6.62;4;4;0;1;8.28;9;8;1;0.8889;7.45;0
2024-219;1;102302;01-2024;0.18519;0;NULL;3;3;0;1;8.72;4;4;0;1;7.82;7;7;0;1;8.27;0
2024-206;1;102302;01-2024;0.04762;0;NULL;3;3;0;1;8.86;3;3;0;1;8.99;6;6;0;1;8.93;0
2024-219;1;102302;01-2024;0.15873;0;NULL;3;3;0;1;8.99;4;4;0;1;9;7;7;0;1;8.99;0
2024-413;1;102301;01-2024;0.07778;0;NULL;5;5;0;1;8.37;5;4;1;0.8;7.5;10;9;1;0.9;7.94;0
2024-409;1;102302;01-2024;0.11515;0;NULL;5;5;0;1;7.42;5;5;0;1;9.23;10;10;0;1;8.33;0
2024-701;1;102301;01-2024;0.05675;0;NULL;6;6;0;1;7.76;5;4;0;0.8;6.67;11;10;0;0.9091;7.21;0
2024-219;1;102302;01-2024;0.05556;0;NULL;3;3;0;1;7.53;4;3;1;0.75;7.08;7;6;1;0.8571;7.3;0
2024-416;1;102301;01-2024;0.05556;0;NULL;4;4;0;1;8.79;3;3;0;1;8;7;7;0;1;8.39;0
2024-409;1;102301;01-2024;0.07778;0;NULL;5;3;2;0.6;6.46;5;5;0;1;8.39;10;8;2;0.8;7.43;0
2024-701;1;102301;01-2024;0.04000;1;50;5;5;0;1;8.16;6;5;1;0.8333;7.79;11;10;1;0.9091;7.97;0
2024-403;1;102302;01-2024;0.23077;0;NULL;5;0;5;0;0.72;2;1;1;0.5;4.77;7;1;6;0.1429;2.74;0
2024-209;1;102302;01-2024;0.16667;1;25;5;5;0;1;7.7;5;5;0;1;9.04;10;10;0;1;8.37;0
2024-206;1;102302;01-2024;0.12817;0;NULL;3;2;0;0.6667;5.05;4;2;2;0.5;6.53;7;4;2;0.5714;5.79;0
2017-106;1;102302;01-2020;0.11515;0;NULL;4;4;0;1;9.64;4;4;0;1;8.79;8;8;0;1;9.22;0
2018-206;1;102302;01-2020;0.07143;0;NULL;3;3;0;1;7.88;3;3;0;1;7.99;6;6;0;1;7.94;0
2017-103;1;102301;01-2020;0.17448;0;NULL;5;2;3;0.4;6.01;2;0;0;0;0;7;2;3;0.2857;3.01;1
2016-202;1;102302;01-2020;0.07692;0;NULL;5;5;0;1;7.87;5;5;0;1;8.2;10;10;0;1;8.04;0
2017-104;1;102301;01-2020;0.05675;0;NULL;4;2;2;0.5;6.52;3;3;0;1;8.24;7;5;2;0.7143;7.38;0
2016-302;1;102302;01-2020;0.26667;1;50;4;4;0;1;8.53;4;4;0;1;7.86;8;8;0;1;8.19;0
2017-109;1;102301;01-2020;0.10101;0;NULL;5;4;0;0.8;6.08;5;3;2;0.6;7.32;10;7;2;0.7;6.7;1
2019-701;1;102301;01-2020;0.18175;0;NULL;5;4;1;0.8;7.8;4;3;1;0.75;7.87;9;7;2;0.7778;7.83;0
2009-441;1;102301;01-2020;0.17448;0;NULL;6;6;0;1;7.85;5;5;0;1;8.48;11;11;0;1;8.17;0
2018-206;1;102301;01-2021;0.17448;0;NULL;4;4;0;1;8.98;1;1;0;1;9.21;5;5;0;1;9.09;0
2016-302;1;102301;01-2021;0.10000;0;NULL;4;4;0;1;8.32;5;4;0;0.8;6.52;9;8;0;0.8889;7.42;0
2016-301;1;102302;01-2021;0.15000;0;NULL;4;4;0;1;8.19;5;4;0;0.8;6.08;9;8;0;0.8889;7.14;0
2017-106;1;102301;01-2022;0.06557;0;NULL;4;2;2;0.5;6.18;4;1;2;0.25;4.02;8;3;4;0.375;5.1;0
2022-702;1;102301;01-2022;0.06897;0;NULL;4;4;0;1;7.33;4;4;0;1;7.81;8;8;0;1;7.57;0
2019-404;1;102302;01-2022;0.04762;0;NULL;5;5;0;1;8.25;5;5;0;1;8.32;10;10;0;1;8.29;0
2018-219;1;102301;01-2022;0.11515;0;NULL;2;2;0;1;7.99;3;0;0;0;0;5;2;0;0.4;4;1
2019-209;1;102301;01-2022;0.11765;0;NULL;5;5;0;1;8.67;5;4;0;0.8;7.03;10;9;0;0.9;7.85;0
2018-206;1;102301;01-2022;0.10256;0;NULL;3;3;0;1;7.82;2;2;0;1;7.73;5;5;0;1;7.78;0
2019-211;1;102301;01-2022;0.09524;1;100;6;5;1;0.8333;7.84;5;5;0;1;8.15;11;10;1;0.9091;8;0
2019-209;1;102301;01-2023;0.26667;0;NULL;5;5;0;1;8.57;5;5;0;1;8.91;10;10;0;1;8.74;0
2023-305;1;102302;01-2023;0.09259;0;NULL;5;5;0;1;8.58;4;4;0;1;8.32;9;9;0;1;8.45;0
2023-303;1;102302;01-2023;0.05675;0;NULL;4;3;0;0.75;5.97;5;4;0;0.8;5.9;9;7;0;0.7778;5.93;0
2024-702;1;102301;01-2024;0.09351;0;NULL;5;4;0;0.8;6.65;4;4;0;1;8.09;9;8;0;0.8889;7.37;0
2019-209;1;102301;01-2020;0.15873;0;NULL;5;5;0;1;7.94;4;4;0;1;6.93;9;9;0;1;7.44;1
2016-301;1;102301;01-2020;0.09351;0;NULL;4;4;0;1;7.74;6;4;0;0.6667;5.9;10;8;0;0.8;6.82;0
2017-105;1;102302;01-2020;0.00000;0;NULL;4;3;1;0.75;7.16;4;1;2;0.25;4.1;8;4;3;0.5;5.63;0
2017-109;1;102301;01-2020;0.10101;0;NULL;4;2;1;0.5;5.5;4;3;1;0.75;6.64;8;5;2;0.625;6.07;0
2017-109;1;102301;01-2020;0.26667;0;NULL;4;4;0;1;7.67;5;2;0;0.4;2.73;9;6;0;0.6667;5.2;1
2016-413;1;102301;01-2020;0.11801;0;NULL;4;4;0;1;8.68;5;5;0;1;8.03;9;9;0;1;8.35;0
2018-219;1;102302;01-2020;0.14173;0;NULL;2;2;0;1;7.74;3;2;1;0.6667;7.02;5;4;1;0.8;7.38;0
2018-219;1;102301;01-2020;0.00000;0;NULL;3;3;0;1;8.41;4;4;0;1;8.69;7;7;0;1;8.55;0
2017-102;1;102301;01-2020;0.05675;0;NULL;3;1;2;0.3333;5.56;3;2;1;0.6667;6.55;6;3;3;0.5;6.05;0
2016-202;1;102302;01-2020;0.00000;0;NULL;5;5;0;1;7.88;5;5;0;1;8.45;10;10;0;1;8.17;0
2016-202;1;102301;01-2020;0.14815;0;NULL;5;5;0;1;8.56;4;4;0;1;9.06;9;9;0;1;8.81;0
2019-211;1;102302;01-2020;0.03571;1;25;5;5;0;1;7.65;5;5;0;1;8.74;10;10;0;1;8.2;0
2017-104;1;102301;01-2020;0.26316;1;50;4;3;0;0.75;5.69;4;4;0;1;8.39;8;7;0;0.875;7.04;0
2019-409;1;102301;01-2020;0.00000;0;NULL;4;4;0;1;8.33;3;0;3;0;1.51;7;4;3;0.5714;4.92;0
2019-409;1;102302;01-2020;0.14286;0;NULL;4;4;0;1;8.17;5;3;1;0.6;6.13;9;7;1;0.7778;7.15;0
2017-109;1;102301;01-2020;0.10101;0;NULL;4;2;1;0.5;5.62;4;2;2;0.5;6.54;8;4;3;0.5;6.08;0
2013-703;1;102301;01-2020;0.45313;0;NULL;6;4;2;0.6667;7.53;4;4;0;1;7.87;10;8;2;0.8;7.7;1
2009-441;1;102301;01-2020;0.17448;0;NULL;6;6;0;1;8.45;5;0;5;0;0.4;11;6;5;0.5455;4.43;1
2009-444;1;102301;01-2020;0.17448;0;NULL;7;7;0;1;8.41;5;5;0;1;8.56;12;12;0;1;8.49;0
2017-105;1;102301;01-2021;0.09351;0;NULL;4;2;1;0.5;4.5;3;1;2;0.3333;3.47;7;3;3;0.4286;3.98;0
2017-105;1;102302;01-2021;0.12817;0;NULL;4;4;0;1;8.46;4;0;0;0;0;8;4;0;0.5;4.23;1
2018-219;1;102302;01-2021;0.04000;0;NULL;4;4;0;1;7.54;2;2;0;1;8.26;6;6;0;1;7.9;0
2018-206;1;102302;01-2021;0.09735;0;NULL;3;3;0;1;8.75;3;3;0;1;9.18;6;6;0;1;8.96;0
2018-206;1;102302;01-2021;0.08889;0;NULL;3;2;0;0.6667;6.34;3;3;0;1;9.42;6;5;0;0.8333;7.88;0
2019-209;1;102302;01-2021;0.17857;0;NULL;5;5;0;1;8.62;5;5;0;1;8.94;10;10;0;1;8.78;0
2018-219;1;102302;01-2021;0.11111;0;NULL;4;4;0;1;8.07;3;3;0;1;8.48;7;7;0;1;8.28;0
2018-219;1;102301;01-2021;0.17308;0;NULL;4;3;1;0.75;6.39;3;3;0;1;8.17;7;6;1;0.8571;7.28;1
2017-104;1;102301;01-2022;0.05882;0;NULL;6;2;2;0.3333;3.58;4;2;2;0.5;3.74;10;4;4;0.4;3.66;0
2017-109;1;102301;01-2022;0.55675;0;NULL;6;3;1;0.5;4.58;5;2;2;0.4;4.62;11;5;3;0.4545;4.6;1
2016-301;1;102301;01-2022;0.09735;0;NULL;5;5;0;1;8.76;5;5;0;1;8.29;10;10;0;1;8.53;0
2019-209;1;102301;01-2022;0.14634;0;NULL;4;2;0;0.5;3.92;3;3;0;1;7.88;7;5;0;0.7143;5.9;0
2016-301;1;102302;01-2022;0.27273;0;NULL;4;3;1;0.75;7.3;3;2;0;0.6667;4.82;7;5;1;0.7143;6.06;0
2019-409;1;102302;01-2022;0.10000;0;NULL;5;5;0;1;7.82;5;5;0;1;8.48;10;10;0;1;8.15;0
2016-302;1;102301;01-2022;0.23377;0;NULL;5;4;1;0.8;6.8;4;3;1;0.75;7.35;9;7;2;0.7778;7.08;0
2018-219;1;102301;01-2022;0.15385;0;NULL;3;2;0;0.6667;6.02;4;4;0;1;9.47;7;6;0;0.8571;7.74;0
2022-702;1;102302;01-2023;0.10101;1;75;4;3;0;0.75;5.39;4;0;0;0;0;8;3;0;0.375;2.7;0
2019-211;1;102302;01-2023;0.09351;0;NULL;5;5;0;1;8.62;5;5;0;1;7.45;10;10;0;1;8.04;0
2023-104;1;102301;01-2023;0.02158;0;NULL;4;4;0;1;7.76;4;1;1;0.25;2.96;8;5;1;0.625;5.36;0
2023-404;1;102301;01-2023;0.02158;0;NULL;5;5;0;1;8.38;5;5;0;1;8.59;10;10;0;1;8.48;1
2023-404;1;102301;01-2023;0.05000;0;NULL;5;1;4;0.2;3.11;3;0;3;0;1.38;8;1;7;0.125;2.25;1
2018-219;1;102301;01-2023;0.14634;0;NULL;3;2;0;0.6667;5.59;4;4;0;1;8.39;7;6;0;0.8571;6.99;1
2019-209;1;102301;01-2023;0.23377;0;NULL;5;5;0;1;7.55;5;4;1;0.8;7.4;10;9;1;0.9;7.48;0
2019-211;1;102302;01-2023;0.00000;0;NULL;5;5;0;1;8.55;6;5;0;0.8333;7.19;11;10;0;0.9091;7.87;0
2023-303;1;102301;01-2023;0.01389;0;NULL;4;3;0;0.75;5.33;4;3;0;0.75;5.77;8;6;0;0.75;5.55;0
2019-209;1;102302;01-2023;0.04202;0;NULL;5;5;0;1;8.53;4;4;0;1;8.93;9;9;0;1;8.73;0
2023-104;1;102301;01-2023;0.08602;0;NULL;4;2;0;0.5;3.71;2;1;1;0.5;4.91;6;3;1;0.5;4.31;0
2024-106;1;102302;01-2024;0.07407;0;NULL;4;3;1;0.75;7.22;3;3;0;1;7.11;7;6;1;0.8571;7.16;0
2024-409;1;102302;01-2024;0.07692;1;50;5;5;0;1;8.96;5;5;0;1;9.24;10;10;0;1;9.1;0
2024-802;1;102302;01-2024;0.04762;0;NULL;5;2;1;0.4;3.95;2;2;0;1;7.8;7;4;1;0.5714;5.88;0
2024-206;1;102302;01-2024;0.14173;0;NULL;3;3;0;1;8.44;3;3;0;1;8.84;6;6;0;1;8.64;1
2024-305;1;102302;01-2024;0.07778;0;NULL;4;4;0;1;9.12;5;5;0;1;8.51;9;9;0;1;8.81;0
2024-202;1;102301;01-2024;0.11515;0;NULL;5;5;0;1;9.11;5;5;0;1;8.42;10;10;0;1;8.77;0
2024-416;1;102302;01-2024;0.15385;0;NULL;4;4;0;1;7.34;3;3;0;1;7.68;7;7;0;1;7.51;1
2024-104;1;102301;01-2024;0.09351;1;50;4;4;0;1;8.63;4;4;0;1;8.76;8;8;0;1;8.69;0
2024-219;1;102302;01-2024;0.11925;0;NULL;3;1;2;0.3333;2.95;3;2;1;0.6667;6.13;6;3;3;0.5;4.54;0
2024-206;1;102302;01-2024;0.11801;0;NULL;3;3;0;1;7.93;3;3;0;1;7.67;6;6;0;1;7.8;0
2024-219;1;102302;01-2024;0.00000;0;NULL;3;3;0;1;7.76;4;2;1;0.5;5.15;7;5;1;0.7143;6.45;0
2024-301;1;102302;01-2024;0.14815;0;NULL;4;4;0;1;7.46;6;6;0;1;8.25;10;10;0;1;7.85;0
2024-206;1;102302;01-2024;0.11515;0;NULL;3;3;0;1;8.55;2;2;0;1;8.65;5;5;0;1;8.6;0
2018-219;1;102301;01-2020;0.04545;0;NULL;3;2;1;0.6667;6.99;4;4;0;1;7.32;7;6;1;0.8571;7.16;0
2017-106;1;102302;01-2020;0.04545;1;100;5;4;0;0.8;6.24;4;2;1;0.5;4.77;9;6;1;0.6667;5.5;0
2019-403;1;102301;01-2020;0.09735;0;NULL;4;3;0;0.75;5.93;2;2;0;1;8.23;6;5;0;0.8333;7.08;0
2019-211;1;102302;01-2021;0.09351;0;NULL;5;5;0;1;8.23;4;4;0;1;8.98;9;9;0;1;8.61;0
2018-219;1;102301;01-2021;0.14173;0;NULL;3;3;0;1;6.93;3;2;1;0.6667;6.53;6;5;1;0.8333;6.73;0
2016-302;1;102301;01-2021;0.17448;0;NULL;4;4;0;1;8.04;5;4;0;0.8;6.13;9;8;0;0.8889;7.09;0
2021-413;1;102301;01-2021;0.05769;0;NULL;5;5;0;1;8.36;4;4;0;1;8.71;9;9;0;1;8.53;0
2018-206;1;102302;01-2021;0.05675;0;NULL;3;3;0;1;8.1;2;2;0;1;6.67;5;5;0;1;7.38;0
2017-103;1;102301;01-2022;0.02158;1;50;5;5;0;1;7.9;4;3;0;0.75;5.57;9;8;0;0.8889;6.73;0
2023-414;1;102302;01-2023;0.06329;0;NULL;5;2;2;0.4;5.21;2;2;0;1;6.07;7;4;2;0.5714;5.64;0
2023-403;1;102301;01-2023;0.06557;0;NULL;5;4;1;0.8;5.69;3;0;1;0;0.28;8;4;2;0.5;2.98;1
2018-219;1;102301;01-2023;0.04202;0;NULL;2;2;0;1;7.92;3;3;0;1;7.71;5;5;0;1;7.82;0
2018-206;1;102302;01-2023;0.07407;0;NULL;3;3;0;1;7.84;3;3;0;1;7.88;6;6;0;1;7.86;0
2022-103;1;102301;01-2023;0.10000;0;NULL;3;0;1;0;1.29;3;0;3;0;4.29;6;0;4;0;2.79;0
2024-105;1;102302;01-2024;0.14173;0;NULL;4;2;1;0.5;5.17;4;0;1;0;0.95;8;2;2;0.25;3.06;0
2024-102;1;102302;01-2024;0.16667;0;NULL;4;2;0;0.5;3.99;3;0;2;0;2.76;7;2;2;0.2857;3.38;0
2024-219;1;102302;01-2024;0.20000;0;NULL;3;3;0;1;7.86;4;4;0;1;7.79;7;7;0;1;7.83;0
2017-101;1;102301;01-2020;0.15873;0;NULL;4;4;0;1;8.15;4;4;0;1;7.86;8;8;0;1;8.01;0
2019-211;1;102302;01-2020;0.06329;0;NULL;5;1;4;0.2;4.82;3;3;0;1;7.5;8;4;4;0.5;6.16;0
2016-301;1;102302;01-2020;0.05675;0;NULL;5;4;1;0.8;6.92;4;3;1;0.75;5.34;9;7;2;0.7778;6.13;0
2019-409;1;102301;01-2020;0.11801;0;NULL;3;1;2;0.3333;5.3;2;0;2;0;0.4;5;1;4;0.2;2.85;1
2009-441;1;102301;01-2020;0.17448;0;NULL;6;6;0;1;7.55;5;5;0;1;8.24;11;11;0;1;7.9;0
2017-109;1;102301;01-2021;0.08333;0;NULL;4;2;1;0.5;4.84;4;2;0;0.5;4.01;8;4;1;0.5;4.43;0
2017-105;1;102302;01-2021;0.09351;0;NULL;4;4;0;1;7.94;4;2;1;0.5;4.53;8;6;1;0.75;6.24;0
2018-219;1;102302;01-2021;0.04762;0;NULL;3;3;0;1;8.79;3;3;0;1;7.98;6;6;0;1;8.39;0
2018-206;1;102302;01-2022;0.01389;1;100;3;3;0;1;8.88;2;2;0;1;9.19;5;5;0;1;9.04;0
2019-404;1;102301;01-2022;0.17308;1;100;5;3;2;0.6;6.45;5;0;5;0;1.77;10;3;7;0.3;4.11;1
2018-444;1;102301;01-2022;0.17448;0;NULL;6;6;0;1;7.73;5;4;1;0.8;7.11;11;10;1;0.9091;7.42;1
2017-104;1;102301;01-2022;0.11515;0;NULL;4;1;2;0.25;2.74;3;2;1;0.6667;5.98;7;3;3;0.4286;4.36;0
2024-219;1;102302;01-2024;0.12817;0;NULL;3;3;0;1;8.49;4;4;0;1;8.24;7;7;0;1;8.37;0
2024-301;1;102301;01-2024;0.02158;0;NULL;4;4;0;1;8.89;2;1;0;0.5;3.75;6;5;0;0.8333;6.32;0
2017-105;1;102301;01-2020;0.14008;0;NULL;4;4;0;1;8.05;4;4;0;1;7.65;8;8;0;1;7.85;0
2016-302;1;102301;01-2020;0.07778;0;NULL;5;5;0;1;6.85;4;3;1;0.75;7.17;9;8;1;0.8889;7.01;0
2019-209;1;102302;01-2020;0.05675;0;NULL;5;5;0;1;7.65;5;5;0;1;7.54;10;10;0;1;7.59;0
2014-802;1;102302;01-2020;0.14815;0;NULL;5;4;1;0.8;6.95;6;5;1;0.8333;7.26;11;9;2;0.8182;7.11;0
2017-104;1;102301;01-2020;0.12817;0;NULL;5;3;2;0.6;6.87;3;2;1;0.6667;7.28;8;5;3;0.625;7.07;0
